x,y,z
5.477314438065908897e-01,2.192031326748620501e-01,5.000000000000000000e-01
5.476215489191944563e-01,2.195182833338688300e-01,5.000000000000000000e-01
5.475126227475430873e-01,2.198313374326197889e-01,5.000000000000000000e-01
5.474047873499874317e-01,2.201421797195019514e-01,5.000000000000000000e-01
5.472980873500081778e-01,2.204507640252090783e-01,5.000000000000000000e-01
5.471924756720516481e-01,2.207571115440966625e-01,5.000000000000000000e-01
5.470879777972139646e-01,2.210611852756350915e-01,5.000000000000000000e-01
5.469847094398223586e-01,2.213628910171427933e-01,5.000000000000000000e-01
5.468829382259566829e-01,2.216620515622694243e-01,5.000000000000000000e-01
5.467825854446113354e-01,2.219587663483009454e-01,5.000000000000000000e-01
5.466833699077687792e-01,2.222532645042208932e-01,5.000000000000000000e-01
5.465852547406973017e-01,2.225455654896082436e-01,5.000000000000000000e-01
5.464885249971508374e-01,2.228354645409158508e-01,5.000000000000000000e-01
5.463934698788240896e-01,2.231227951627140493e-01,5.000000000000000000e-01
5.462997144461630983e-01,2.234078940971921112e-01,5.000000000000000000e-01
5.462069652954935073e-01,2.236909931747806668e-01,5.000000000000000000e-01
5.461155362460143881e-01,2.239718618505820713e-01,5.000000000000000000e-01
5.460253707307589632e-01,2.242505682775050302e-01,5.000000000000000000e-01
5.459361618270534011e-01,2.245273521664352401e-01,5.000000000000000000e-01
5.458480592693288891e-01,2.248020904575548928e-01,5.000000000000000000e-01
5.457606924795810333e-01,2.250750427072059079e-01,5.000000000000000000e-01
5.456739821193927753e-01,2.253462169934085102e-01,5.000000000000000000e-01
5.455885546743332037e-01,2.256151040303920052e-01,5.000000000000000000e-01
5.455043641378759522e-01,2.258817476706589944e-01,5.000000000000000000e-01
5.454213574807424969e-01,2.261461939529335607e-01,5.000000000000000000e-01
5.453395837832335502e-01,2.264084073363507033e-01,5.000000000000000000e-01
5.452590285294878214e-01,2.266684061570587716e-01,5.000000000000000000e-01
5.451799220157691472e-01,2.269260298531784181e-01,5.000000000000000000e-01
5.451020485699621387e-01,2.271814668631327305e-01,5.000000000000000000e-01
5.450251511525519010e-01,2.274349142994548933e-01,5.000000000000000000e-01
5.449492217611582312e-01,2.276863589493303697e-01,5.000000000000000000e-01
5.448743769134226644e-01,2.279356954571592209e-01,5.000000000000000000e-01
5.448007507469456723e-01,2.281828160133176353e-01,5.000000000000000000e-01
5.447286146071790292e-01,2.284275274700400260e-01,5.000000000000000000e-01
5.446578611509912404e-01,2.286699412024360278e-01,5.000000000000000000e-01
5.445880057035467070e-01,2.289104407611882996e-01,5.000000000000000000e-01
5.445190846643278570e-01,2.291489756144600709e-01,5.000000000000000000e-01
5.444517274271898355e-01,2.293850592605622130e-01,5.000000000000000000e-01
5.443863655228458054e-01,2.296184096021337273e-01,5.000000000000000000e-01
5.443223430822873299e-01,2.298496006334658781e-01,5.000000000000000000e-01
5.442591110582331027e-01,2.300790704795006580e-01,5.000000000000000000e-01
5.441966216274937151e-01,2.303068311237628230e-01,5.000000000000000000e-01
5.441349179969010574e-01,2.305328199461878502e-01,5.000000000000000000e-01
5.440740165432680353e-01,2.307569965340813822e-01,5.000000000000000000e-01
5.440140761482316067e-01,2.309792128239099851e-01,5.000000000000000000e-01
5.439554211171748754e-01,2.311992073639779210e-01,5.000000000000000000e-01
5.438979661534040222e-01,2.314170560896839091e-01,5.000000000000000000e-01
5.438414172272822977e-01,2.316329890476994113e-01,5.000000000000000000e-01
5.437858029776075908e-01,2.318469655062684598e-01,5.000000000000000000e-01
5.437314710857188427e-01,2.320587025734239250e-01,5.000000000000000000e-01
5.436788417371491988e-01,2.322678879151442999e-01,5.000000000000000000e-01
5.436275651077702165e-01,2.324748352398168239e-01,5.000000000000000000e-01
5.435772060204362433e-01,2.326799017688037652e-01,5.000000000000000000e-01
5.435277451907067903e-01,2.328830896535026840e-01,5.000000000000000000e-01
5.434786607611563625e-01,2.330847887587261524e-01,5.000000000000000000e-01
5.434301356254983562e-01,2.332848047023825533e-01,5.000000000000000000e-01
5.433828131065810974e-01,2.334825914234755495e-01,5.000000000000000000e-01
5.433367720600708051e-01,2.336780904992953600e-01,5.000000000000000000e-01
5.432920883262295497e-01,2.338712508773723997e-01,5.000000000000000000e-01
5.432485376048029613e-01,2.340622640579809177e-01,5.000000000000000000e-01
5.432060129417637384e-01,2.342512154723195850e-01,5.000000000000000000e-01
5.431644697560924495e-01,2.344381343741484547e-01,5.000000000000000000e-01
5.431243227985063093e-01,2.346226852121975903e-01,5.000000000000000000e-01
5.430860844156040201e-01,2.348044800465741433e-01,5.000000000000000000e-01
5.430492147345845622e-01,2.349840019191543061e-01,5.000000000000000000e-01
5.430131423265149859e-01,2.351617297543850404e-01,5.000000000000000000e-01
5.429783297770804928e-01,2.353372819787410419e-01,5.000000000000000000e-01
5.429451671608491736e-01,2.355103611108010364e-01,5.000000000000000000e-01
5.429132116101919037e-01,2.356813638302116265e-01,5.000000000000000000e-01
5.428820407992546171e-01,2.358506467884254332e-01,5.000000000000000000e-01
5.428515444512835852e-01,2.360182908657850742e-01,5.000000000000000000e-01
5.428217176109927378e-01,2.361842851068005622e-01,5.000000000000000000e-01
5.427929330863089374e-01,2.363483116453985733e-01,5.000000000000000000e-01
5.427658334459116718e-01,2.365098522052853924e-01,5.000000000000000000e-01
5.427400759973659561e-01,2.366692261945094744e-01,5.000000000000000000e-01
5.427149523654417607e-01,2.368270380887573245e-01,5.000000000000000000e-01
5.426904646447192615e-01,2.369832728722063020e-01,5.000000000000000000e-01
5.426666442317786831e-01,2.371378910455972933e-01,5.000000000000000000e-01
5.426434968369118206e-01,2.372908755559718363e-01,5.000000000000000000e-01
5.426210711734111847e-01,2.374421736034393327e-01,5.000000000000000000e-01
5.425994104232565451e-01,2.375917390935978757e-01,5.000000000000000000e-01
5.425785129245105365e-01,2.377395650381534664e-01,5.000000000000000000e-01
5.425584133310026314e-01,2.378856143662991529e-01,5.000000000000000000e-01
5.425394321781800144e-01,2.380296132877263160e-01,5.000000000000000000e-01
5.425215537486660633e-01,2.381715832615620143e-01,5.000000000000000000e-01
5.425044348952510198e-01,2.383118217132969563e-01,5.000000000000000000e-01
5.424880614428821968e-01,2.384503343995592606e-01,5.000000000000000000e-01
5.424724959643307809e-01,2.385870620621070581e-01,5.000000000000000000e-01
5.424577565520194433e-01,2.387219857934725076e-01,5.000000000000000000e-01
5.424438171244317930e-01,2.388551253906894822e-01,5.000000000000000000e-01
5.424306777141745251e-01,2.389864776565848725e-01,5.000000000000000000e-01
5.424183422989132808e-01,2.391160364988371700e-01,5.000000000000000000e-01
5.424068535118083956e-01,2.392437633849613665e-01,5.000000000000000000e-01
5.423962355982515637e-01,2.393696376335245346e-01,5.000000000000000000e-01
5.423865421467812808e-01,2.394936150320906842e-01,5.000000000000000000e-01
5.423777585963260872e-01,2.396157123915778897e-01,5.000000000000000000e-01
5.423698177364555395e-01,2.397359924011951138e-01,5.000000000000000000e-01
5.423632557275419597e-01,2.398539947489413127e-01,5.000000000000000000e-01
5.423581115360418536e-01,2.399697085977517963e-01,5.000000000000000000e-01
5.423537623673877484e-01,2.400837031394180421e-01,5.000000000000000000e-01
5.423504181257114976e-01,2.401958003798951025e-01,5.000000000000000000e-01
5.423480882459703611e-01,2.403060044123525585e-01,5.000000000000000000e-01
5.423467951832247058e-01,2.404143105354251131e-01,5.000000000000000000e-01
